"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 15 11:52:07 GMT 2020","Sun Nov 15 11:52:35 GMT 2020","28177","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163",""
"passed","Sun Nov 15 11:51:09 GMT 2020","Sun Nov 15 11:51:39 GMT 2020","29250","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163",""
"passed","Sun Nov 15 11:53:31 GMT 2020","Sun Nov 15 11:53:59 GMT 2020","27529","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163",""
"passed","Sun Nov 15 11:53:03 GMT 2020","Sun Nov 15 11:53:31 GMT 2020","28194","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163",""
"passed","Sun Nov 15 11:52:35 GMT 2020","Sun Nov 15 11:53:03 GMT 2020","28198","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163",""
"passed","Sun Nov 15 11:51:39 GMT 2020","Sun Nov 15 11:52:07 GMT 2020","28195","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163",""
