"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 15 14:38:58 GMT 2020","Sun Nov 15 14:39:27 GMT 2020","28121","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163",""
"passed","Sun Nov 15 14:40:50 GMT 2020","Sun Nov 15 14:41:18 GMT 2020","28108","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163",""
"passed","Sun Nov 15 14:38:29 GMT 2020","Sun Nov 15 14:38:58 GMT 2020","29605","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163",""
"passed","Sun Nov 15 14:39:55 GMT 2020","Sun Nov 15 14:40:22 GMT 2020","27426","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163",""
"passed","Sun Nov 15 14:40:22 GMT 2020","Sun Nov 15 14:40:50 GMT 2020","28127","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163",""
"passed","Sun Nov 15 14:39:27 GMT 2020","Sun Nov 15 14:39:55 GMT 2020","28093","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163",""
