"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 14 17:39:01 GMT 2020","Sat Nov 14 17:39:29 GMT 2020","28195","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163","filter the log by file type {""filter"":""xls"",""filteredFile"":""Xls""} @TEST-163",""
"passed","Sat Nov 14 17:39:29 GMT 2020","Sat Nov 14 17:39:57 GMT 2020","28157","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163","filter the log by file type {""filter"":""pptx"",""filteredFile"":""Pptx""} @TEST-163",""
"passed","Sat Nov 14 17:40:26 GMT 2020","Sat Nov 14 17:40:54 GMT 2020","28175","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163","filter the log by file type {""filter"":""png"",""filteredFile"":""Png""} @TEST-163",""
"passed","Sat Nov 14 17:38:32 GMT 2020","Sat Nov 14 17:39:01 GMT 2020","28666","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163","filter the log by file type {""filter"":""docx"",""filteredFile"":""Docx""} @TEST-163",""
"passed","Sat Nov 14 17:40:54 GMT 2020","Sat Nov 14 17:41:22 GMT 2020","28161","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163","filter the log by file type {""filter"":""pdf"",""filteredFile"":""Pdf""} @TEST-163",""
"passed","Sat Nov 14 17:39:57 GMT 2020","Sat Nov 14 17:40:26 GMT 2020","28163","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","","request-history-filtering-by-file-type @request-history-filtering-by-file-type","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163","filter the log by file type {""filter"":""rtf"",""filteredFile"":""Rtf""} @TEST-163",""
